"","vert_name_chn","degree2","betweenness2","closeness2","clust_coeff2","pagerank2","eigen_c2"
"54",54,105,1089.91542509174,0.00128369704749679,0.41978021978022,0.00706480419123113,0.705932027569157
"55",55,29,56.498261860376,0.00107991360691145,0.5,0.00215220484702652,0.183880397663404
"56",56,36,27.1747506174234,0.00112233445566779,0.773015873015873,0.00245405516553051,0.333512695051099
"57",57,49,113.324987247373,0.00114678899082569,0.604591836734694,0.00333111617589026,0.395174482091772
"58",58,8,25.5783178762828,0.000980392156862745,0.642857142857143,0.00101926898531751,0.0635932776462903
"59",59,3,0,0.000725689404934688,1,0.000949090917270024,0.00150343776070653
"60",60,11,4.70552187161735,0.00102354145342886,0.8,0.00106106082599076,0.0931061979969559
"61",61,16,1132.75768480531,0.00102249488752556,0.45,0.00216841209126834,0.0951252775489004
"62",62,6,161.720696417688,0.000873362445414847,0.333333333333333,0.00146712052623958,0.0126982217831508
"63",63,24,10.4848943179444,0.00106951871657754,0.77536231884058,0.0018057246568667,0.188671796822979
"64",64,193,4308.97736478479,0.00149476831091181,0.233484455958549,0.0129528061047903,1
"65",65,109,539.209623454075,0.00130208333333333,0.436629289840299,0.00694254006402301,0.754331461094177
"66",66,146,2320.59839564857,0.00137362637362637,0.308738781294284,0.00996214999797909,0.855556102553265
"67",67,21,6.40923762062683,0.00107991360691145,0.752380952380952,0.00157771727017731,0.197770201165262
"68",68,98,583.447769697322,0.00127226463104326,0.445823690300863,0.00639344396835883,0.680604628386806
"69",69,23,23.4866390893605,0.00105374077976818,0.620553359683794,0.00183850179106644,0.157078034437452
"70",70,72,735.471855149413,0.00120918984280532,0.424491392801252,0.00511772940660365,0.484252681098104
"71",71,11,15.0949037474495,0.000991080277502478,0.690909090909091,0.00125629140149341,0.0683770193926821
"72",72,91,685.652493583353,0.00126903553299492,0.458119658119658,0.00605769801309887,0.626830313041418
"73",73,105,1217.67578663233,0.00129533678756477,0.411172161172161,0.00705715251540271,0.699338149583849
"74",74,23,14.5964484003084,0.0010752688172043,0.723320158102767,0.00175059930394534,0.175342770885077
"75",75,9,2.78764887266027,0.00100502512562814,0.861111111111111,0.000957454230045236,0.0709006438484078
