"","vert_name_chn","degree2","betweenness2","closeness2","clust_coeff2","pagerank2","eigen_c2"
"1",1,81,747.075994689925,0.00056785917092561,0.253703703703704,0.00234840669676061,0.132438424130799
"2",2,22,59.2940362531605,0.00051440329218107,0.233766233766234,0.000777957565022276,0.0390596215363245
"3",3,32,1121.45166919603,0.000508905852417303,0.284274193548387,0.00128079745566968,0.0406349224414173
"4",4,30,1.63150927013947,0.000434404865334492,0.71264367816092,0.000696921790762323,0.140738071373036
"5",5,7,7.85072484208573,0.000503018108651911,0.380952380952381,0.000382185484487183,0.0146302429596855
"6",6,61,6.71349828813578,0.000444642063139173,0.658469945355191,0.00123082973717375,0.270371622312994
"7",7,22,22.941837411959,0.000491642084562439,0.402597402597403,0.00075293663674824,0.0424131821456736
"8",8,13,7.37555520931359,0.000510986203372509,0.551282051282051,0.000542366734496577,0.0238724886773265
"9",9,1,0,0.000355113636363636,0,0.00020987112380055,0.000400726265084921
"10",10,81,143.539623739532,0.000477554918815664,0.576543209876543,0.00163130109118261,0.304883469698655
"11",11,59,345.329640900471,0.000577034045008655,0.328462887200468,0.00175038350426913,0.118984290338404
"12",12,22,61.8669201179785,0.000475285171102662,0.277056277056277,0.000809271778366956,0.0240533559911598
"13",13,11,18.0275266960045,0.000453309156844968,0.509090909090909,0.000408591941358363,0.0334964052706275
"14",14,1,0,0.000378787878787879,0,0.000203521657625851,0.000874469867209276
"15",15,1,0,0.000387596899224806,0,0.000202708842440973,0.00136984796124368
"16",16,32,43.6425808285256,0.000443852640923213,0.0967741935483871,0.000771980654490422,0.150885564308622
"17",17,34,303.558172766196,0.000543773790103317,0.397504456327986,0.00110913555526872,0.0726514612923188
"18",18,15,29.527340645323,5e-04,0.438095238095238,0.000595580479283719,0.0258179953960152
"19",19,55,483.521514022861,0.000574712643678161,0.266666666666667,0.00163675796983866,0.123995941410301
"20",20,9,158.039859293283,0.00049825610363727,0.222222222222222,0.000507945465573131,0.0156791564409315
"21",21,72,336.611330336953,0.000557413600891862,0.518779342723005,0.0015284848172199,0.291562105524706
"22",22,3,0,0.000491883915395967,1,0.000257761021768715,0.0100917288320575
"23",23,25,70.1743068816903,0.000500250125062531,0.426666666666667,0.000867167660763885,0.0472971721257119
"24",24,6,1.12732683982684,0.000396825396825397,0.8,0.000366171010792198,0.00323081707294422
"25",25,10,3.80635403845061,0.000502765208647562,0.6,0.000453880786569791,0.0281965881591455
"26",26,48,537.264270384845,0.000564334085778781,0.390070921985816,0.00123472619650854,0.178977486621507
"27",27,10,0.663239724961969,0.00043630017452007,0.311111111111111,0.000423055113140984,0.0364385240164287
"28",28,9,0.976985760076545,0.000502765208647562,0.75,0.000414980850519939,0.0220825104853894
"29",29,29,47.1808832662026,0.000467726847521048,0.551724137931034,0.000714250286239547,0.122482771237781
"30",30,4,6.4631549369852,0.000372995151063036,0.166666666666667,0.000364856067264162,0.00315943552569716
"31",31,27,12.5385316102382,0.000469704086425552,0.698005698005698,0.000653246064564298,0.130512109734508
"32",32,107,157.000934253261,0.000498504486540379,0.490918709222359,0.00211734085849592,0.386396524197782
"33",33,6,82.0300277297745,0.000507872016251905,0.6,0.000393833260035873,0.0149259280312722
"34",34,3,0,0.000404040404040404,1,0.00026242387373265,0.00278760144233074
"35",35,37,159.678609392501,0.000554938956714761,0.244744744744745,0.00114976678638764,0.0812087005756588
"36",36,2,0,0.000406669377795852,1,0.000230788502239293,0.00292231974430975
"37",37,1,0,0.000407830342577488,0,0.000200146113447412,0.00304000210045705
"38",38,11,4.21101904150845,0.000467726847521048,0.272727272727273,0.000468919715757436,0.0299412532406323
"39",39,16,10.7196656616039,0.000490918016691213,0.533333333333333,0.000613970680226737,0.0273236355065436
"40",40,3,0.129361659379497,0.000422832980972516,0.666666666666667,0.000254008974824058,0.00466391753232245
"41",41,26,21.4852313642305,0.000498753117206983,0.495384615384615,0.00086082650843887,0.0362695061095996
"42",42,91,63.7847795070168,0.000469043151969981,0.532844932844933,0.00178774227236293,0.355487035060639
"43",43,40,86.2098082273372,0.000516262261228704,0.283333333333333,0.00123119157159798,0.0778764598427765
"44",44,2,0,0.000376506024096386,1,0.000243099157473454,0.0010042647382814
"45",45,14,28.3857769703341,0.00046882325363338,0.307692307692308,0.000473190699043447,0.0558228403300879
"46",46,11,5.92191141374904,0.000472589792060492,0.563636363636364,0.000468272011949253,0.0233682951564096
"47",47,12,9.85161789507626,0.000444642063139173,0.560606060606061,0.000484587190445618,0.020849201873244
"48",48,13,31.6706318562596,0.000443262411347518,0.525641025641026,0.000557722467356262,0.0148607176065481
"49",49,10,4.50225325902467,0.000453103760761214,0.444444444444444,0.000438502751932613,0.0152325143865806
"50",50,146,7551.89370571852,0.00062111801242236,0.132923948984412,0.00474595827732248,0.201650638397005
"51",51,22,20.8878488900698,0.000505561172901921,0.463203463203463,0.000751689307959269,0.0468675977812992
"52",52,23,38.0485496691614,0.00053134962805526,0.328063241106719,0.000801804584490841,0.0410553751598114
"53",53,15,44.9993383444903,0.000480769230769231,0.40952380952381,0.000628185240369471,0.0233773324455622
"54",54,8,0.125697618058441,0.000417188151856487,0.678571428571429,0.000381601949877441,0.0106459566995685
"55",55,13,14.0959465180211,0.000438212094653812,0.141025641025641,0.000460334928363847,0.0533632364390346
"56",56,8,17.5484218067221,0.000446827524575514,0.25,0.000399792571841338,0.0180875604864362
"57",57,13,13.0575996801203,0.000482625482625483,0.333333333333333,0.000520522632139191,0.0282246256971228
