"","vert_name_com","degree","betweenness","closeness","clust_coeff","pagerank","eigen_c"
"1",1,1,0,0.000675675675675676,0,0.00060654064838416,0.000642791791379491
"2",2,10,761.900288856702,0.000959692898272553,0.333333333333333,0.00222997260979362,0.0545192357182624
"3",3,7,114.018511631799,0.000859106529209622,0.333333333333333,0.00125185186645969,0.0253429279331078
"4",4,11,396.521736100613,0.000978473581213307,0.418181818181818,0.00163368417659171,0.0752535270510726
"5",5,3,0,0.0007097232079489,1,0.000846769012060273,0.00183324293279759
"6",6,4,17.0277943246497,0.000768639508070715,0.5,0.000962077771972282,0.00704350287663552
"7",7,11,1313.75959288448,0.000934579439252336,0.236363636363636,0.00313775619208821,0.0377419053959099
"8",8,49,294.273082426774,0.00113378684807256,0.485544217687075,0.0043636753911705,0.387784087490112
"9",9,79,786.835793687501,0.00121951219512195,0.402466731580656,0.00671915862403759,0.624971362859021
"10",10,100,1481.01054159211,0.00127551020408163,0.343232323232323,0.00851839386986732,0.73479178018124
"11",11,11,5.90332558162681,0.000900900900900901,0.763636363636364,0.00128601378305495,0.0616842095499355
"12",12,77,1833.00020696838,0.00120336943441637,0.345864661654135,0.00727349984696057,0.539682861879826
"13",13,82,1273.84463521639,0.00121654501216545,0.382716049382716,0.00727977127275257,0.628284039790812
"14",14,90,1332.6120356488,0.00125156445556946,0.372284644194757,0.00779518211238688,0.686693068681274
"15",15,100,2004.92470120464,0.00130890052356021,0.337777777777778,0.0087264559117503,0.746704217700952
"16",16,38,480.025572661777,0.00109649122807018,0.435277382645804,0.00356897786918501,0.311133796189395
"17",17,29,72.4746291740123,0.00110987791342952,0.586206896551724,0.00267293731481849,0.278680462986255
"18",18,3,0,0.00088809946714032,1,0.000698225419321099,0.0199588063386794
"19",19,29,135.829279222889,0.00110741971207087,0.502463054187192,0.0027817984237435,0.249198980247636
"20",20,4,3.32643292869106,0.000902527075812274,0.5,0.000804856374845854,0.0251690662825174
"21",21,7,48.9835744708483,0.000820344544708778,0.714285714285714,0.00139228442595754,0.0110662784520893
"22",22,33,1139.1760547193,0.00111234705228031,0.40530303030303,0.00382420277682261,0.242032853408579
"23",23,9,46.6270590267097,0.000914076782449726,0.611111111111111,0.00142250694341338,0.0400074110681673
"24",24,7,15.975712645836,0.00078064012490242,0.476190476190476,0.00143404505746367,0.0067319253961652
"25",25,10,270.705145739948,0.000925069380203515,0.444444444444444,0.00175126734448952,0.037373398283674
"26",26,17,34.6577252234707,0.00100401606425703,0.485294117647059,0.00186252808883661,0.101427311677344
"27",27,30,123.619438932387,0.00107296137339056,0.466666666666667,0.0028447735274303,0.230849433268542
"28",28,45,220.074177362416,0.00113122171945701,0.434343434343434,0.00406928802987987,0.337800241858731
"29",29,65,1082.85233776837,0.00119331742243437,0.36875,0.00597999837034697,0.47003670462462
"30",30,23,75.7333177541872,0.00102354145342886,0.359683794466403,0.00237795452400514,0.118139665670138
"31",31,143,2773.33269057928,0.00139275766016713,0.270166453265045,0.0120925212210901,0.980251308918644
"32",32,92,1273.24692948443,0.00126582278481013,0.342809364548495,0.00807424608298468,0.697515737697175
"33",33,80,255.255448766619,0.00123304562268804,0.491455696202532,0.00649837256752309,0.721074980808235
"34",34,14,436.235401977141,0.00102459016393443,0.461538461538462,0.00189868284746436,0.108825047382248
"35",35,2,0.6,0.000786782061369001,0,0.000557739908174796,0.0071194783642431
"36",36,21,985.52161195214,0.00105596620908131,0.414285714285714,0.0027179038927797,0.176440671693626
"37",37,2,0,0.000737463126843658,1,0.000824500983590551,0.00305707076021074
"38",38,2,0,0.000737463126843658,1,0.000824500983590445,0.00305707076021074
"39",39,118,4078.14979235537,0.0013351134846462,0.267275097783572,0.0108047119275873,0.779192076522908
"40",40,70,270.78266523703,0.00120627261761158,0.52008281573499,0.00578920297442594,0.64626123333453
"41",41,78,4139.69204477875,0.0012453300124533,0.27972027972028,0.00870717196447421,0.510142084367045
"42",42,27,14.819195087038,0.00105932203389831,0.680911680911681,0.00240575196107214,0.27935292450288
"43",43,104,1437.64303550439,0.00130890052356021,0.365944734876774,0.00877596730803189,0.81279898202559
"44",44,41,169.940410182697,0.00114678899082569,0.539024390243902,0.00367993493336592,0.367598296108844
"45",45,28,63.8047618330503,0.0011037527593819,0.711640211640212,0.00258251815736316,0.303150046768287
"46",46,138,5167.86505154123,0.00141843971631206,0.270601925314715,0.0122318398574549,0.941998037891983
"47",47,138,4995.32997133395,0.00138504155124654,0.24436686766106,0.0126884771810499,0.888122048122587
"48",48,6,0.106239316239316,0.000954198473282443,0.933333333333333,0.000839614485354819,0.0693935497228296
"49",49,100,2375.52026750872,0.0012987012987013,0.325252525252525,0.00922838947880472,0.731315453615956
"50",50,19,79.235030760163,0.00105708245243129,0.666666666666667,0.00198806873361996,0.203643191366809
"51",51,4,0,0.000903342366757001,1,0.000658540979431198,0.0425228458868378
"52",52,13,23.2766237975251,0.00103199174406605,0.692307692307692,0.00147660831756968,0.144988017859867
"53",53,3,0,0.000918273645546373,1,0.000615429736307271,0.0310777922458575
"54",54,89,1016.89797375674,0.00127388535031847,0.393513789581205,0.00763374399633273,0.714641589640936
"55",55,25,88.1272076912774,0.00106951871657754,0.42,0.00241895441353662,0.188680693311804
"56",56,21,15.2827513292462,0.00107296137339056,0.871428571428571,0.00194627954629715,0.262533823808167
"57",57,25,134.846996158854,0.00108225108225108,0.66,0.0024988854695751,0.258602165428343
"58",58,1,0,0.000530503978779841,0,0.00082849052725097,1.22337594622225e-05
"59",59,3,0,0.000677506775067751,1,0.00151610507458392,0.000718107654117131
