"","vert_name_com","degree","betweenness","closeness","clust_coeff","pagerank","eigen_c"
"1",1,30,220.392405538437,0.000166002656042497,0.340229885057471,0.00157613207002451,0.166215192440308
"2",2,6,29.826289701968,0.000152415790275873,0.0666666666666667,0.000533679232392246,0.0103171803097764
"3",3,13,773.817904625933,0.000155908949173683,0.230769230769231,0.00112960496724096,0.0188887158995329
"4",4,9,0.317514352868439,0.000152835090936879,0.805555555555556,0.000445804380080286,0.0699284850579266
"5",5,4,21.6186656232784,0.000160436386972565,0.166666666666667,0.000422312858011247,0.0163417280788041
"6",6,49,68.9642631427549,0.000157331655129012,0.679421768707483,0.00168973873444516,0.346897074406348
"7",7,5,0,0.000163291966035271,1,0.000410591944115125,0.0418832073737655
"8",8,3,0,0.000152230172020094,1,0.000329429984197883,0.00916926818038688
"9",9,35,269.198061205392,0.000165289256198347,0.657142857142857,0.00127763952312638,0.24243927701494
"10",10,36,72.1484684647263,0.000165207335205683,0.101587301587302,0.00178214828875123,0.226950294778819
"11",11,17,427.16940654465,0.000164663263625885,0.397058823529412,0.0011487207320337,0.0604128366013774
"12",12,3,2.11460245694518,0.00015451174289246,0.333333333333333,0.00030029372941933,0.0175530678423216
"13",13,2,0,0.000151699029126214,1,0.000272543995176394,0.00792878689540353
"14",14,6,0,0.00015255530129672,1,0.000505393551556636,0.0114577300252536
"15",15,7,6.08937536611792,0.000155400155400155,0.428571428571429,0.000411793546782652,0.0522729561890197
"16",16,49,1956.0488922964,0.000169836956521739,0.347789115646258,0.00261282328633823,0.235116977148648
"17",17,6,2.22425081910877,0.000162100826714216,0.733333333333333,0.00048098736213007,0.0295899526285054
"18",18,32,1015.64980061413,0.000166917042230012,0.262096774193548,0.00180739738185677,0.173488315265488
"19",19,2,0,0.000149120190873844,1,0.000292567209232102,0.00374955619983414
"20",20,63,462.990822780641,0.000160978750804894,0.526881720430108,0.00220569673121224,0.398384844401511
"21",21,1,0,0.000146584579302257,0,0.000233122014815821,0.00191218740295495
"22",22,10,248.44278155252,0.000164581961816985,0.511111111111111,0.000723723232463501,0.0605572779712079
"23",23,2,0,0.000145011600928074,1,0.000334669085019878,0.00125647242938604
"24",24,7,0.434738134206219,0.000161238310222509,0.571428571428571,0.000510171520622493,0.035000330632719
"25",25,23,183.520471666288,0.00016479894528675,0.624505928853755,0.000950906991746177,0.168225654362536
"26",26,5,0.918960655306708,0.000161943319838057,0.9,0.000425903892107531,0.0271406316331318
"27",27,2,0.34911186696901,0.000150806816468104,0,0.000274603751689786,0.00698894164385542
"28",28,18,250.955511805671,0.000166472448809722,0.516339869281046,0.000795787188027674,0.133010748995455
"29",29,1,0,0.000160179400929041,0,0.000231301171438491,0.0143544841999765
"30",30,12,4.36237980314909,0.000155183116076971,0.681818181818182,0.000552145309193765,0.0818480762141319
"31",31,56,69.0649831552173,0.000157728706624606,0.654545454545455,0.00186437864564192,0.36648540189864
"32",32,6,14.5769145005784,0.000160487883164821,0.266666666666667,0.000468221043611461,0.0284834745450706
"33",33,3,0.194475043777562,0.000149678191887442,0.666666666666667,0.000336324241230704,0.00424928691006692
"34",34,25,114.434225653678,0.000166861338227933,0.436666666666667,0.00137084876928912,0.135866344449321
"35",35,3,4.01204704427117,0.000150557061126167,0,0.000339768882677079,0.00705369417127236
"36",36,6,44.2424110746674,0.000158503724837534,0.533333333333333,0.000480247607398429,0.0275819165623943
"37",37,9,12.9254069189574,0.000158553987632789,0.388888888888889,0.000603083785637494,0.0592570272115655
"38",38,7,0.95734609199001,0.000163692912096906,0.809523809523809,0.000510097958889771,0.0486387007093472
"39",39,2,0,0.000154012012937009,1,0.000282471842961313,0.0104747258012964
"40",40,9,6.03317513156759,0.000155933260564478,0.5,0.000593613314206622,0.0247620618756389
"41",41,71,129.727068302549,0.000158553987632789,0.532394366197183,0.00232572576305249,0.451755816139752
"42",42,18,147.947453780418,0.000163532297628782,0.372549019607843,0.00115994630652882,0.0888720111649564
"43",43,1,0,0.000145985401459854,0,0.000238851356260504,0.00130381622305649
"44",44,8,21.2725342582122,0.00015617679212869,0.392857142857143,0.000473622909616332,0.0526844632745431
"45",45,6,3.2829481825942,0.000163853842372604,0.8,0.000468660440031684,0.0435697910530733
"46",46,6,0.37740002669312,0.000160797555877151,0.333333333333333,0.000441528620001766,0.0464295014401087
"47",47,5,823.589607976353,0.000150285542530809,0.2,0.000649598361019865,0.00648095535795993
"48",48,7,4.63269141935703,0.00016,0.571428571428571,0.000499843511629676,0.0381199457832487
"49",49,47,586.329879185509,0.000168690958164642,0.269195189639223,0.00253184075723576,0.156708832227222
"50",50,8,17.4146429294246,0.000156961230576048,0.321428571428571,0.000590430886868344,0.0259395904348754
"51",51,9,85.7863025626962,0.00016215339711367,0.527777777777778,0.000635957161413898,0.0331043674883481
"52",52,13,282.369231743368,0.000162416761409777,0.397435897435897,0.000982134502344764,0.0388522615066818
"53",53,10,12.7774463242526,0.000163800163800164,0.755555555555556,0.000661231567565029,0.0531050368926684
"54",54,6,3.29444867973248,0.000149342891278375,0.2,0.000453423551372022,0.0203240668828991
"55",55,3,51.8919546379616,0.000152741713762028,0,0.000394358765892853,0.0129079182371222
"56",56,4,0.30467351968255,0.000162074554294976,0.833333333333333,0.000373023508003889,0.0281701709393539
"57",57,3,0,0.00015956598053295,1,0.000318783044646135,0.0286288023931673
"58",58,54,1123.19949066452,0.000168378514901499,0.216631726065688,0.00288197356477062,0.194847187739677
"59",59,66,140.974430331564,0.000159642401021711,0.537995337995338,0.00220009333588499,0.440390463895695
